Nome,Endereço,Latitude,Longitude,Avaliação,Total de Avaliações,Telefone,Website,Categorias,Place ID,Link Google Maps,Horário de Funcionamento
Sankhya Gestão de Negócios,"Av. Marcos de Freitas Costa, 369 - Daniel Fonseca, Uberlândia - MG, 38400-328, Brasil",-18.9221645,-48.2943113,4.8,295.0,(34) 3239-0700,https://www.sankhya.com.br/,"point_of_interest, establishment",ChIJQTRRu2lEpJQRW1BWFS5eYd0,https://maps.google.com/?cid=15952134907142492251,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
DriverHub,"Av. dos Vinhedos, 70 - Torre Empresarial 3 - 4º andar - Jardim Karaíba, Uberlândia - MG, 38411-217, Brasil",-18.9450184,-48.2631131,,,(11) 99852-1971,,"point_of_interest, establishment",ChIJa8sF0ztFpJQRiQBIDRFJfVk,https://maps.google.com/?cid=6448390579050512521,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Linx,"Av. dos Eucaliptos, 901 - Jardim Patricia, Uberlândia - MG, 38414-123, Brasil",-18.9126865,-48.3263553,4.5,82.0,(34) 3239-2000,,"point_of_interest, establishment",ChIJp3jJGvNDpJQRJhDOw-YZ8SE,https://maps.google.com/?cid=2445764551557124134,segunda-feira: 08:00 – 17:45 | terça-feira: 08:00 – 17:45 | quarta-feira: 08:00 – 17:45 | quinta-feira: 08:00 – 17:45 | sexta-feira: 08:00 – 17:45 | sábado: Fechado | domingo: Fechado
GestGo,"Alameda dos Mandarins - Grand Ville, Uberlândia - MG, 38407-661, Brasil",-18.9085051,-48.21603589999999,,,(34) 99724-5478,https://gestgo.com.br/,"point_of_interest, establishment",ChIJ5WG4AhdPpJQRuEI7CoYtshI,https://maps.google.com/?cid=1347189292257723064,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
Presence Controle de Ponto,"Av. Cesário Alvim, 2079 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-694, Brasil",-18.9072601,-48.2661445,4.8,115.0,(34) 3221-4200,https://presencerh.com.br/,"point_of_interest, establishment",ChIJEUiz79dFpJQRLKiqglWQ9A8,https://maps.google.com/?cid=1149702501825161260,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
Blowmind Solutions,"R. das Acácias, 358 - Cidade Jardim, Uberlândia - MG, 38412-130, Brasil",-18.9466952,-48.2922832,5.0,1.0,(34) 3084-8862,,"point_of_interest, establishment",ChIJmUWtpMNEpJQRdN32CVxlvnY,https://maps.google.com/?cid=8556387788029091188,segunda-feira: 09:00 – 19:00 | terça-feira: 09:00 – 19:00 | quarta-feira: 09:00 – 19:00 | quinta-feira: 09:00 – 19:00 | sexta-feira: 09:00 – 19:00 | sábado: Fechado | domingo: Fechado
DS Fotos e Vídeos 360°,"R. Dr. Carlos Marengo Pereira Filho, 20 - parque dos ipes, Uberlândia - MG, 38425-415, Brasil",-18.9801874,-48.280415,4.0,1.0,(34) 98415-0460,https://dsmidias.rf.gd/index.html,"point_of_interest, establishment",ChIJwznVuQtbpJQRN4KXg_9I-Jw,https://maps.google.com/?cid=11310870726402605623,segunda-feira: Atendimento 24 horas | terça-feira: Atendimento 24 horas | quarta-feira: Atendimento 24 horas | quinta-feira: Atendimento 24 horas | sexta-feira: Atendimento 24 horas | sábado: Atendimento 24 horas | domingo: Atendimento 24 horas
MeuApp.Ai,"Av. Doutor - Av. Jaime Ribeiro da Luz, 971 - LOJA 052 - Santa Mônica, Uberlândia - MG, 38412-098, Brasil",-18.9300279,-48.2389169,,,(34) 93618-0878,http://www.meuapp.ai/,"point_of_interest, establishment",ChIJra5hZclPpJQRbzMM49naK3M,https://maps.google.com/?cid=8298967367712256879,segunda-feira: 09:00 – 19:00 | terça-feira: 09:00 – 19:00 | quarta-feira: 09:00 – 19:00 | quinta-feira: 09:00 – 19:00 | sexta-feira: 09:00 – 19:00 | sábado: Fechado | domingo: Fechado
Sankhya Gestão de Negócios,"Av. Marcos de Freitas Costa, 309 - Daniel Fonseca, Uberlândia - MG, 38400-328, Brasil",-18.9224191,-48.2938637,4.6,68.0,(34) 3239-0733,https://www.sankhya.com.br/,"point_of_interest, establishment",ChIJvaSmsglFpJQRdTczR1WHu8s,https://maps.google.com/?cid=14680476210680772469,segunda-feira: 08:00 – 18:00 | terça-feira: 08:00 – 18:00 | quarta-feira: 08:00 – 18:00 | quinta-feira: 08:00 – 18:00 | sexta-feira: 08:00 – 18:00 | sábado: Fechado | domingo: Fechado
Cityware,"R. das Hortências, 293 - Cidade Jardim, Uberlândia - MG, 38412-160, Brasil",-18.9490838,-48.2942153,3.0,1.0,(34) 99116-6618,,"point_of_interest, establishment",ChIJdcSGfPREpJQRhJkM7KMBAT0,https://maps.google.com/?cid=4395796514841860484,
WDG - Solutions & Technology,"R. José Cecílio Domingos, 102 - casa 9 - Alto Umuarama, Uberlândia - MG, 38405-353, Brasil",-18.8897981,-48.23378049999999,5.0,2.0,(34) 99170-5400,https://wdgtech.com.br/,"point_of_interest, establishment",ChIJG-s3CQBPpJQR3v0kJngfshE,https://maps.google.com/?cid=1275116245395766750,
"TW Tech, Saúde","Av. Jaime Ribeiro da Luz, 971 Salas 38 e 44, Segundo Andar - Centro, Uberlândia - MG, 38400-056, Brasil",-18.9295016,-48.2388031,5.0,6.0,(34) 3016-6661,http://www.twtisaude.com.br/,"point_of_interest, establishment",ChIJs_sUOwdFpJQRreo-4buNjCs,https://maps.google.com/?cid=3138038878447790765,segunda-feira: 08:30 – 17:30 | terça-feira: 08:30 – 17:30 | quarta-feira: 08:30 – 17:30 | quinta-feira: 08:30 – 17:30 | sexta-feira: 08:30 – 17:30 | sábado: Fechado | domingo: Fechado
CONECT,"R. Cruzeiro dos Peixotos, 499 - 506-507 - Nossa Sra. Aparecida, Uberlândia - MG, 38400-608, Brasil",-18.9132153,-48.2718762,3.0,2.0,(34) 3214-0229,,"point_of_interest, establishment",ChIJUZG4LK9FpJQRBIMGlhuerDU,https://maps.google.com/?cid=3867640021322728196,
